"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","rt.sulfur.dioxide"
"4209",5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6,4.35889894354067
"1987",7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,5.19615242270663
"3478",7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,6.2449979983984
"4319",6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7,4.79583152331272
"2269",6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6,5.91607978309962
"4187",7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5,5,4.79583152331272
"4065",5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5,4.79583152331272
"2970",6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,6,4.12310562561766
"1899",7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,6,3.87298334620742
"2004",7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6,5.74456264653803
"987",7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,6.6332495807108
"1773",7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6,5.65685424949238
"1464",8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6,3.3166247903554
"3359",6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,5.3851648071345
"1226",6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6,4.35889894354067
"137",8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,6
"3293",6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,7.68114574786861
"1889",7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,5,7.07106781186548
"2748",7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,6.92820323027551
"2396",7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5,5.29150262212918
"747",7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6,5.56776436283002
"1355",7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5,6.557438524302
"4075",6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9,4,3.87298334620742
"353",5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,5.19615242270663
"3343",6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5,5.8309518948453
"3302",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,4.58257569495584
"1529",7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,5.74456264653803
"2032",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5,5.65685424949238
"3161",6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6,2.44948974278318
"3853",5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6,6.16441400296898
"4835",5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12,7,5.91607978309962
"1259",6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6,8.06225774829855
"2992",6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7,6.70820393249937
"2119",6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6,4.24264068711928
"4491",5.8,0.3,0.33,3.5,0.033,25,116,0.99057,3.2,0.44,11.7,6,5
"2348",7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6,4.89897948556636
"4605",6.8,0.38,0.29,9.9,0.037,40,146,0.99326,3.11,0.37,11.5,6,6.32455532033676
"4113",6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6,5.47722557505166
"2708",6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,6.557438524302
"4156",6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5,7.07106781186548
"422",7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6,6.08276253029822
"2132",7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,7
"850",6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,5.47722557505166
"843",8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,5.91607978309962
"34",6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,6.557438524302
"4477",6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,6,6.08276253029822
"1236",7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5,6.78232998312527
"2953",6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5,3
"172",7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,4.12310562561766
"3739",5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,4.24264068711928
"2553",6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,2.82842712474619
"3146",6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,6.08276253029822
"411",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,6.48074069840786
"2250",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5,6.70820393249937
"1174",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,5.56776436283002
"4067",7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,7.74596669241483
"4077",7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4,5,5.74456264653803
"3066",7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6,7.34846922834953
"1848",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5,6.6332495807108
"1573",6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6,7.07106781186548
"1911",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,7.34846922834953
"4015",6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6,7.48331477354788
"2801",6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5,7.81024967590665
"4055",7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7,5.74456264653803
"2478",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7,4.12310562561766
"624",7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5,1.73205080756888
"1815",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7,5.56776436283002
"3488",6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,6
"3385",6.8,0.23,0.3,6.95,0.044,42,179,0.9946,3.25,0.56,10.6,6,6.48074069840786
"1735",6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,7.07106781186548
"4082",5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6,7.24568837309472
"3733",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5,3.3166247903554
"1131",6.9,0.2,0.28,1.2,0.048,36,159,0.9936,3.19,0.43,9.1,6,6
"3355",5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,7,5.3851648071345
"2406",6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5,7.68114574786861
"1032",6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6,6.70820393249937
"3347",6.7,0.18,0.24,10.3,0.057,64,185,0.99519,3.12,0.5,10.6,6,8
"4060",6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6,5.65685424949238
"912",6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,4.69041575982343
"2115",7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6,7.68114574786861
"93",6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,6.85565460040104
"1634",7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,3.87298334620742
"492",7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7,3.46410161513775
"793",6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,5.8309518948453
"3474",6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,6.08276253029822
"573",6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5,6.6332495807108
"2858",6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8,6.2449979983984
"4657",6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,7,7.41619848709566
"3497",6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7,7.81024967590665
"1948",5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5,7.81024967590665
"964",6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,4.79583152331272
"3548",7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6,8.30662386291807
"4303",7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,5
"4546",6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6,6.40312423743285
"3996",8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1,5,1.73205080756888
"4686",7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5,4.79583152331272
"194",6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5,5.8309518948453
"3209",6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5,6.2449979983984
"504",6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5,2.82842712474619
"273",5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5,6.6332495807108
"2508",7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7,6
"456",6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,4.89897948556636
"1392",6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6,4.79583152331272
"3787",7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5,7.84219357067906
"2263",8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6,3.3166247903554
"3676",5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,6,6.48074069840786
"4403",6.8,0.43,0.26,5.2,0.043,40,176,0.99116,3.17,0.41,12.3,6,6.32455532033676
"4397",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5,7.41619848709566
"661",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5,3.46410161513775
"284",6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,7.14142842854285
"2787",8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6,2.82842712474619
"2242",7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,6.92820323027551
"668",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6,7
"1819",6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,6,5.19615242270663
"963",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,6.16441400296898
"3826",6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6,3.46410161513775
"2949",6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6,7.41619848709566
"3917",7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6,7
"4147",7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7,7,7.48331477354788
"1865",7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6,5
"380",6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7,3.46410161513775
"1093",7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6,4.89897948556636
"4896",6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,6,5.47722557505166
"1766",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5,7.48331477354788
"4839",5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,5.29150262212918
"1241",7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6,6.6332495807108
"4171",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,5.74456264653803
"104",7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,6.6332495807108
"2936",7.1,0.27,0.28,1.25,0.023,3,89,0.98993,2.95,0.3,11.4,4,1.73205080756888
"3296",6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,7.68114574786861
"4670",5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5,3.46410161513775
"3879",6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,7.61577310586391
"4146",6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6,7.34846922834953
"263",6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5,3.87298334620742
"3919",6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2,7,5.56776436283002
"3769",6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6,7.28010988928052
"910",7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,6.78232998312527
"3644",6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,6,6.48074069840786
"1491",5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,5.29150262212918
"2296",7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6,7.87400787401181
"2823",6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5,5
"4357",6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.53333333,5,5.91607978309962
"4813",5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7,6.78232998312527
"1077",7.5,0.28,0.33,7.7,0.048,42,180,0.9974,3.37,0.59,10.1,6,6.48074069840786
"3395",6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1,5,7.21110255092798
"4149",6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,2.82842712474619
"1443",8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5,5.19615242270663
"164",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,6.92820323027551
"3900",6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5,6.85565460040104
"582",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5,5
"360",6.9,0.24,0.34,4.7,0.04,43,161,0.9935,3.2,0.59,10.6,6,6.557438524302
"3312",6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7,8.18535277187245
"4198",6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5,5.8309518948453
"1717",7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,5.3851648071345
"777",8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,4.24264068711928
"3292",5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,4.58257569495584
"3376",7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6,6.16441400296898
"2849",6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5,7.41619848709566
"4603",6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,6,6.70820393249937
"3813",7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,4.58257569495584
"1020",8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6,7.48331477354788
"3033",6.7,0.14,0.46,1.6,0.036,15,92,0.99264,3.37,0.49,10.9,5,3.87298334620742
"156",7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,6.92820323027551
"2539",5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,5.47722557505166
"3405",5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6,3
"591",7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,5,2.44948974278318
"1904",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5,5
"635",6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6,6.78232998312527
"2111",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5,6.6332495807108
"3551",7.2,0.14,0.32,1.1,0.022,48,116,0.99218,3.04,0.67,10,6,6.92820323027551
"640",5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5,7
"2588",5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6,3.87298334620742
"1770",7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7,5.74456264653803
"2707",7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6,7.68114574786861
"4796",6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7,6.6332495807108
"4773",6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5,6.85565460040104
"991",8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,6.40312423743285
"1617",6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,7.81024967590665
"3439",6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1,5,8.06225774829855
"625",6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5,5.19615242270663
"1850",7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6,6.92820323027551
"994",7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,3
"1338",6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,6.32455532033676
"4258",5.8,0.32,0.23,1.5,0.033,39,121,0.9887,2.96,0.35,12,5,6.2449979983984
"2718",6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6,7.68114574786861
"4012",6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8,7,6.08276253029822
"3273",7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7,5.3851648071345
"1993",7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5,4.12310562561766
"4226",6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5,6.16441400296898
"3554",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,6.2449979983984
"4176",6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,7,5
"2447",6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5,6.32455532033676
"2449",6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6,4.35889894354067
"1291",8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6,4
"4709",7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,6,5.09901951359278
"4872",5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6,4.47213595499958
"3817",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5,5.29150262212918
"3010",6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6,7.07106781186548
"129",6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,6.85565460040104
"4865",6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,5,4.69041575982343
"2830",7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5,5.56776436283002
"2803",5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6,2.82842712474619
"2603",6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6,7.48331477354788
"506",7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,6.78232998312527
"4749",6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5,5.74456264653803
"2245",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5,5.91607978309962
"62",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,7.07106781186548
"3796",6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,5.3851648071345
"2568",6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,6.2449979983984
"2909",6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,4.69041575982343
"4484",5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4,2.64575131106459
"476",7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5,7.41619848709566
"2994",6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,5.3851648071345
"3503",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5,5.47722557505166
"2188",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5,3.60555127546399
"2622",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5,5.3851648071345
"2148",6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5,4.47213595499958
"1430",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5,4.24264068711928
"2438",8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6,5.8309518948453
"1056",8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5,5.3851648071345
"4667",6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5,6
"2136",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5,6.40312423743285
"655",6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7,8.36660026534076
"4440",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5,3.74165738677394
"1123",6.6,0.25,0.39,1.45,0.04,40,89,0.9911,3.35,0.4,11.4,7,6.32455532033676
"4511",6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,5.91607978309962
"3180",8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4,5.56776436283002
"648",7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6,7.54983443527075
"3763",7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5,3.16227766016838
"4704",5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7,6
"386",5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,4.24264068711928
"4358",5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,6,7.07106781186548
"643",6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6,8.24621125123532
"4101",6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,6,4.89897948556636
"3443",5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8,7,3.74165738677394
"4423",6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6,4.89897948556636
"4265",5.8,0.2,0.16,1.4,0.042,44,99,0.98912,3.23,0.37,12.2,6,6.6332495807108
"3379",6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8,7.48331477354788
"3759",6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,4.89897948556636
"3317",5.8,0.18,0.37,1.1,0.036,31,96,0.98942,3.16,0.48,12,6,5.56776436283002
"1916",7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,5.09901951359278
"4849",7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6,8.18535277187245
"2757",8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6,6.48074069840786
"4241",6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,6.85565460040104
"3034",6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6,7.07106781186548
"2013",6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5,6.08276253029822
"2637",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,6.32455532033676
"3745",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,5.3851648071345
"4599",6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,6,4.47213595499958
"2612",6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,7.81024967590665
"3719",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,4.79583152331272
"1615",8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5,6.32455532033676
"2735",7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6,7.07106781186548
"629",7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6,5.56776436283002
"1928",7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5,6.78232998312527
"4815",5.7,0.4,0.35,5.1,0.026,17,113,0.99052,3.18,0.67,12.4,6,4.12310562561766
"2172",7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,6.96419413859206
"4554",5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,6
"2071",7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6,5
"2299",6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,4.79583152331272
